Name,BO_Year,BOMojoFilmURL,Duration
Schindler's List,1994,https://www.boxofficemojo.com/release/rl3949954561/,3 hr 15 min
The Client,1994,https://www.boxofficemojo.com/release/rl575309313/,1 hr 59 min
Philadelphia,1994,https://www.boxofficemojo.com/release/rl1147700737/,2 hr 5 min
Stargate,1994,https://www.boxofficemojo.com/release/rl1081312769/,1 hr 56 min
Ace Ventura: Pet Detective,1994,https://www.boxofficemojo.com/release/rl104891905/,1 hr 26 min
Star Trek: Generations,1994,https://www.boxofficemojo.com/release/rl3077801473/,1 hr 58 min
Wolf,1994,https://www.boxofficemojo.com/release/rl3615196673/,2 hr 5 min
Pulp Fiction,1994,https://www.boxofficemojo.com/release/rl2053801473/,2 hr 34 min
Grumpy Old Men,1994,https://www.boxofficemojo.com/release/rl2421655041/,1 hr 43 min
Batman Forever,1995,https://www.boxofficemojo.com/release/rl3494217217/,2 hr 1 min
Apollo 13,1995,https://www.boxofficemojo.com/release/rl1614972417/,2 hr 20 min
Toy Story,1995,https://www.boxofficemojo.com/release/rl1400342017/,1 hr 21 min
Pocahontas,1995,https://www.boxofficemojo.com/release/rl762021377/,1 hr 21 min
Ace Ventura: When Nature Calls,1995,https://www.boxofficemojo.com/release/rl121669121/,1 hr 30 min
Casper,1995,https://www.boxofficemojo.com/release/rl2923988481/,1 hr 40 min
Die Hard with a Vengeance,1995,https://www.boxofficemojo.com/release/rl3008333313/,2 hr 8 min
Crimson Tide,1995,https://www.boxofficemojo.com/release/rl1095599617/,1 hr 56 min
GoldenEye,1995,https://www.boxofficemojo.com/release/rl2622785025/,2 hr 10 min
Waterworld,1995,https://www.boxofficemojo.com/release/rl1987610113/,2 hr 15 min
Dangerous Minds,1995,https://www.boxofficemojo.com/release/rl709658113/,1 hr 39 min
Se7en,1995,https://www.boxofficemojo.com/release/rl1080985089/,2 hr 7 min
Congo,1995,https://www.boxofficemojo.com/release/rl3762980353/,1 hr 49 min
While You Were Sleeping,1995,https://www.boxofficemojo.com/release/rl846956033/,1 hr 43 min
Get Shorty,1995,https://www.boxofficemojo.com/release/rl3897918977/,1 hr 45 min
The Bridges of Madison County,1995,https://www.boxofficemojo.com/release/rl155813377/,2 hr 15 min
Mortal Kombat,1995,https://www.boxofficemojo.com/release/rl1264944641/,1 hr 41 min
Dumb and Dumber,1995,https://www.boxofficemojo.com/release/rl4014900737/,1 hr 47 min
Nine Months,1995,https://www.boxofficemojo.com/release/rl1734837761/,1 hr 43 min
Outbreak,1995,https://www.boxofficemojo.com/release/rl392791553/,2 hr 7 min
Independence Day,1996,https://www.boxofficemojo.com/release/rl2656798209/,2 hr 25 min
Twister,1996,https://www.boxofficemojo.com/release/rl1886815745/,1 hr 53 min
Mission: Impossible,1996,https://www.boxofficemojo.com/release/rl3680667137/,1 hr 50 min
The Rock,1996,https://www.boxofficemojo.com/release/rl3211560449/,2 hr 16 min
The Nutty Professor,1996,https://www.boxofficemojo.com/release/rl996574721/,1 hr 35 min
Ransom,1996,https://www.boxofficemojo.com/release/rl3261761025/,2 hr 1 min
The Birdcage,1996,https://www.boxofficemojo.com/release/rl1229424129/,1 hr 57 min
A Time to Kill,1996,https://www.boxofficemojo.com/release/rl3933505025/,2 hr 29 min
101 Dalmatians,1996,https://www.boxofficemojo.com/release/rl893486593/,1 hr 43 min
The First Wives Club,1996,https://www.boxofficemojo.com/release/rl4149446145/,1 hr 43 min
Eraser,1996,https://www.boxofficemojo.com/release/rl3578889729/,1 hr 55 min
Phenomenon,1996,https://www.boxofficemojo.com/release/rl1130923521/,2 hr 3 min
The Hunchback of Notre Dame,1996,https://www.boxofficemojo.com/release/rl4250437121/,1 hr 31 min
Star Trek: First Contact,1996,https://www.boxofficemojo.com/release/rl2826143233/,1 hr 51 min
Space Jam,1996,https://www.boxofficemojo.com/release/rl3849356801/,1 hr 28 min
Mr. Holland's Opus,1996,https://www.boxofficemojo.com/release/rl4284057089/,2 hr 23 min
Broken Arrow,1996,https://www.boxofficemojo.com/release/rl1850312193/,1 hr 48 min
Jerry Maguire,1996,https://www.boxofficemojo.com/release/rl912098817/,2 hr 19 min
The Cable Guy,1996,https://www.boxofficemojo.com/release/rl3276375553/,1 hr 36 min
Courage Under Fire,1996,https://www.boxofficemojo.com/release/rl5080577/,1 hr 56 min
Men in Black,1997,https://www.boxofficemojo.com/release/rl1264748033/,1 hr 38 min
The Lost World: Jurassic Park,1997,https://www.boxofficemojo.com/release/rl2405271041/,2 hr 9 min
Liar Liar,1997,https://www.boxofficemojo.com/release/rl1113490945/,1 hr 26 min
Air Force One,1997,https://www.boxofficemojo.com/release/rl2168489473/,2 hr 4 min
Star Wars: Episode IV - A New Hope,1997,https://www.boxofficemojo.com/release/rl3379725825/,2 hr 1 min
My Best Friend's Wedding,1997,https://www.boxofficemojo.com/release/rl291800577/,1 hr 45 min
Titanic,1997,https://www.boxofficemojo.com/release/rl3698624001/,3 hr 14 min
Face/Off,1997,https://www.boxofficemojo.com/release/rl2723186177/,2 hr 18 min
Batman & Robin,1997,https://www.boxofficemojo.com/release/rl3561326081/,2 hr 5 min
George of the Jungle,1997,https://www.boxofficemojo.com/release/rl2387969537/,1 hr 32 min
Con Air,1997,https://www.boxofficemojo.com/release/rl2253030913/,1 hr 55 min
Hercules,1997,https://www.boxofficemojo.com/release/rl240748033/,1 hr 33 min
Contact,1997,https://www.boxofficemojo.com/release/rl3578430977/,2 hr 30 min
Jerry Maguire,1997,https://www.boxofficemojo.com/release/rl912098817/,2 hr 19 min
Flubber,1997,https://www.boxofficemojo.com/release/rl659719681/,1 hr 33 min
Conspiracy Theory,1997,https://www.boxofficemojo.com/release/rl3746203137/,2 hr 15 min
Scream 2,1997,https://www.boxofficemojo.com/release/rl3597633025/,2 hr
Scream,1997,https://www.boxofficemojo.com/release/rl3580855809/,1 hr 51 min
Tomorrow Never Dies,1997,https://www.boxofficemojo.com/release/rl3597960705/,1 hr 59 min
I Know What You Did Last Summer,1997,https://www.boxofficemojo.com/release/rl224101889/,1 hr 41 min
Titanic,1998,https://www.boxofficemojo.com/release/rl3698624001/,3 hr 14 min
Armageddon,1998,https://www.boxofficemojo.com/release/rl2973926913/,2 hr 31 min
Saving Private Ryan,1998,https://www.boxofficemojo.com/release/rl3396044289/,2 hr 49 min
There's Something About Mary,1998,https://www.boxofficemojo.com/release/rl172000769/,1 hr 59 min
The Waterboy,1998,https://www.boxofficemojo.com/release/rl2037941761/,1 hr 30 min
Doctor Dolittle,1998,https://www.boxofficemojo.com/release/rl1145996801/,1 hr 25 min
Deep Impact,1998,https://www.boxofficemojo.com/release/rl3444344321/,2 hr
Godzilla,1998,https://www.boxofficemojo.com/release/rl2975106561/,2 hr 19 min
Rush Hour,1998,https://www.boxofficemojo.com/release/rl577734145/,1 hr 38 min
Good Will Hunting,1998,https://www.boxofficemojo.com/release/rl3428091393/,2 hr 6 min
Lethal Weapon 4,1998,https://www.boxofficemojo.com/release/rl1633584641/,2 hr 7 min
A Bug's Life,1998,https://www.boxofficemojo.com/release/rl2420737537/,1 hr 35 min
The Truman Show,1998,https://www.boxofficemojo.com/release/rl3229058561/,1 hr 43 min
As Good as It Gets,1998,https://www.boxofficemojo.com/release/rl2185397761/,2 hr 19 min
Mulan,1998,https://www.boxofficemojo.com/release/rl3664086529/,1 hr 28 min
The Mask of Zorro,1998,https://www.boxofficemojo.com/release/rl2573436417/,2 hr 16 min
Enemy of the State,1998,https://www.boxofficemojo.com/release/rl3914434049/,2 hr 12 min
Antz,1998,https://www.boxofficemojo.com/release/rl2051180033/,1 hr 23 min
The Rugrats Movie,1998,https://www.boxofficemojo.com/release/rl3597436417/,1 hr 19 min
The X Files,1998,https://www.boxofficemojo.com/release/rl1534756353/,2 hr 1 min
Star Wars: Episode I - The Phantom Menace,1999,https://www.boxofficemojo.com/release/rl2742257153/,2 hr 16 min
The Sixth Sense,1999,https://www.boxofficemojo.com/release/rl3527509505/,1 hr 47 min
Austin Powers: The Spy Who Shagged Me,1999,https://www.boxofficemojo.com/release/rl3343025665/,1 hr 35 min
Toy Story 2,1999,https://www.boxofficemojo.com/release/rl1417119233/,1 hr 32 min
The Matrix,1999,https://www.boxofficemojo.com/release/rl2271446529/,2 hr 16 min
Tarzan,1999,https://www.boxofficemojo.com/release/rl2742388225/,1 hr 28 min
Big Daddy,1999,https://www.boxofficemojo.com/release/rl457672193/,1 hr 33 min
The Mummy,1999,https://www.boxofficemojo.com/release/rl3546646017/,2 hr 4 min
Runaway Bride,1999,https://www.boxofficemojo.com/release/rl3295446529/,1 hr 56 min
The Blair Witch Project,1999,https://www.boxofficemojo.com/release/rl2269611521/,1 hr 21 min
Notting Hill,1999,https://www.boxofficemojo.com/release/rl4016539137/,2 hr 4 min
The World Is Not Enough,1999,https://www.boxofficemojo.com/release/rl3598419457/,2 hr 8 min
Double Jeopardy,1999,https://www.boxofficemojo.com/release/rl105809409/,1 hr 45 min
Wild Wild West,1999,https://www.boxofficemojo.com/release/rl3011216897/,1 hr 46 min
Analyze This,1999,https://www.boxofficemojo.com/release/rl3947070977/,1 hr 43 min
The General's Daughter,1999,https://www.boxofficemojo.com/release/rl2622850561/,1 hr 56 min
American Pie,1999,https://www.boxofficemojo.com/release/rl2588116481/,1 hr 35 min
Inspector Gadget,1999,https://www.boxofficemojo.com/release/rl3311109633/,1 hr 18 min
Shakespeare in Love,1999,https://www.boxofficemojo.com/release/rl2188281345/,2 hr 3 min
Sleepy Hollow,1999,https://www.boxofficemojo.com/release/rl3480323585/,1 hr 45 min
How the Grinch Stole Christmas,2000,https://www.boxofficemojo.com/release/rl3059189249/,1 hr 44 min
Mission: Impossible II,2000,https://www.boxofficemojo.com/release/rl1600292353/,2 hr 3 min
Gladiator,2000,https://www.boxofficemojo.com/release/rl2136245761/,2 hr 35 min
The Perfect Storm,2000,https://www.boxofficemojo.com/release/rl661161473/,2 hr 10 min
Meet the Parents,2000,https://www.boxofficemojo.com/release/rl677545473/,1 hr 48 min
X-Men,2000,https://www.boxofficemojo.com/release/rl1383761409/,1 hr 44 min
Scary Movie,2000,https://www.boxofficemojo.com/release/rl4033840641/,1 hr 28 min
What Lies Beneath,2000,https://www.boxofficemojo.com/release/rl4084762113/,2 hr 10 min
Dinosaur,2000,https://www.boxofficemojo.com/release/rl2605680129/,1 hr 22 min
Erin Brockovich,2000,https://www.boxofficemojo.com/release/rl3612444161/,2 hr 11 min
Nutty Professor II: The Klumps,2000,https://www.boxofficemojo.com/release/rl2388428289/,1 hr 46 min
Charlie's Angels,2000,https://www.boxofficemojo.com/release/rl608929281/,1 hr 38 min
Big Momma's House,2000,https://www.boxofficemojo.com/release/rl38241793/,1 hr 39 min
Remember the Titans,2000,https://www.boxofficemojo.com/release/rl2892858881/,1 hr 53 min
The Patriot,2000,https://www.boxofficemojo.com/release/rl3244918273/,2 hr 45 min
What Women Want,2000,https://www.boxofficemojo.com/release/rl3849881089/,2 hr 7 min
Chicken Run,2000,https://www.boxofficemojo.com/release/rl1649116673/,1 hr 24 min
Gone in 60 Seconds,2000,https://www.boxofficemojo.com/release/rl2203354625/,1 hr 58 min
Cast Away,2000,https://www.boxofficemojo.com/release/rl2772993537/,2 hr 23 min
"Me, Myself & Irene",2000,https://www.boxofficemojo.com/release/rl274892289/,1 hr 56 min
Harry Potter and the Sorcerer's Stone,2001,https://www.boxofficemojo.com/release/rl1416332801/,2 hr 32 min
Shrek,2001,https://www.boxofficemojo.com/release/rl7439873/,1 hr 30 min
"Monsters, Inc.",2001,https://www.boxofficemojo.com/release/rl2070251009/,1 hr 32 min
Rush Hour 2,2001,https://www.boxofficemojo.com/release/rl795837953/,1 hr 30 min
The Mummy Returns,2001,https://www.boxofficemojo.com/release/rl3580200449/,2 hr 10 min
Pearl Harbor,2001,https://www.boxofficemojo.com/release/rl543720961/,3 hr 3 min
Jurassic Park III,2001,https://www.boxofficemojo.com/release/rl3210577409/,1 hr 32 min
Planet of the Apes,2001,https://www.boxofficemojo.com/release/rl3379070465/,1 hr 59 min
Hannibal,2001,https://www.boxofficemojo.com/release/rl357991937/,2 hr 11 min
The Lord of the Rings: The Fellowship of the Ring,2001,https://www.boxofficemojo.com/release/rl4200695297/,2 hr 58 min
American Pie 2,2001,https://www.boxofficemojo.com/release/rl2604893697/,1 hr 48 min
The Fast and the Furious,2001,https://www.boxofficemojo.com/release/rl928220673/,1 hr 46 min
Ocean's Eleven,2001,https://www.boxofficemojo.com/release/rl409372161/,1 hr 56 min
Lara Croft: Tomb Raider,2001,https://www.boxofficemojo.com/release/rl1767867905/,1 hr 40 min
Traffic,2001,https://www.boxofficemojo.com/release/rl1115129345/,2 hr 27 min
Cast Away,2001,https://www.boxofficemojo.com/release/rl2772993537/,2 hr 23 min
"Crouching Tiger, Hidden Dragon",2001,https://www.boxofficemojo.com/release/rl2739766785/,2 hr
Dr. Dolittle 2,2001,https://www.boxofficemojo.com/release/rl1112442369/,1 hr 27 min
Spy Kids,2001,https://www.boxofficemojo.com/release/rl1903396353/,1 hr 28 min
The Princess Diaries,2001,https://www.boxofficemojo.com/release/rl4033578497/,1 hr 51 min
Spider-Man,2002,https://www.boxofficemojo.com/release/rl678659585/,2 hr 1 min
Star Wars: Episode II - Attack of the Clones,2002,https://www.boxofficemojo.com/release/rl2809366017/,2 hr 22 min
Harry Potter and the Chamber of Secrets,2002,https://www.boxofficemojo.com/release/rl1433110017/,2 hr 41 min
Signs,2002,https://www.boxofficemojo.com/release/rl1685161473/,1 hr 46 min
My Big Fat Greek Wedding,2002,https://www.boxofficemojo.com/release/rl342132225/,1 hr 35 min
The Lord of the Rings: The Two Towers,2002,https://www.boxofficemojo.com/release/rl4032923137/,2 hr 59 min
Austin Powers in Goldmember,2002,https://www.boxofficemojo.com/release/rl944080385/,1 hr 34 min
Men in Black II,2002,https://www.boxofficemojo.com/release/rl1281525249/,1 hr 28 min
Ice Age,2002,https://www.boxofficemojo.com/release/rl3277358593/,1 hr 21 min
A Beautiful Mind,2002,https://www.boxofficemojo.com/release/rl21399041/,2 hr 15 min
Scooby-Doo,2002,https://www.boxofficemojo.com/release/rl3631187457/,1 hr 29 min
The Lord of the Rings: The Fellowship of the Ring,2002,https://www.boxofficemojo.com/release/rl4200695297/,2 hr 58 min
Die Another Day,2002,https://www.boxofficemojo.com/release/rl2974778881/,2 hr 13 min
Lilo & Stitch,2002,https://www.boxofficemojo.com/release/rl3898508801/,1 hr 25 min
xXx,2002,https://www.boxofficemojo.com/release/rl1450870273/,2 hr 4 min
The Santa Clause 2,2002,https://www.boxofficemojo.com/release/rl1097827841/,1 hr 44 min
Minority Report,2002,https://www.boxofficemojo.com/release/rl4200760833/,2 hr 25 min
The Ring,2002,https://www.boxofficemojo.com/release/rl476874241/,1 hr 55 min
Mr. Deeds,2002,https://www.boxofficemojo.com/release/rl2540013057/,1 hr 36 min
Sweet Home Alabama,2002,https://www.boxofficemojo.com/release/rl846562817/,1 hr 48 min
Finding Nemo,2003,https://www.boxofficemojo.com/release/rl2723382785/,1 hr 40 min
Pirates of the Caribbean: The Curse of the Black Pearl,2003,https://www.boxofficemojo.com/release/rl4134045185/,2 hr 23 min
The Matrix Reloaded,2003,https://www.boxofficemojo.com/release/rl4167271937/,2 hr 18 min
The Lord of the Rings: The Return of the King,2003,https://www.boxofficemojo.com/release/rl4251026945/,3 hr 21 min
Bruce Almighty,2003,https://www.boxofficemojo.com/release/rl3142157825/,1 hr 41 min
X2: X-Men United,2003,https://www.boxofficemojo.com/release/rl1736082945/,2 hr 14 min
Elf,2003,https://www.boxofficemojo.com/release/rl1263633921/,1 hr 37 min
Chicago,2003,https://www.boxofficemojo.com/release/rl1816888833/,1 hr 53 min
Terminator 3: Rise of the Machines,2003,https://www.boxofficemojo.com/release/rl3413476865/,1 hr 49 min
Bad Boys II,2003,https://www.boxofficemojo.com/release/rl1732609537/,2 hr 27 min
The Matrix Revolutions,2003,https://www.boxofficemojo.com/release/rl4234380801/,2 hr 9 min
Anger Management,2003,https://www.boxofficemojo.com/release/rl3259205121/,1 hr 46 min
Bringing Down the House,2003,https://www.boxofficemojo.com/release/rl2068416001/,1 hr 45 min
Hulk,2003,https://www.boxofficemojo.com/release/rl2488829441/,2 hr 18 min
2 Fast 2 Furious,2003,https://www.boxofficemojo.com/release/rl1178699265/,1 hr 47 min
The Lord of the Rings: The Two Towers,2003,https://www.boxofficemojo.com/release/rl4032923137/,2 hr 59 min
Seabiscuit,2003,https://www.boxofficemojo.com/release/rl3312420353/,2 hr 20 min
S.W.A.T.,2003,https://www.boxofficemojo.com/release/rl3279062529/,1 hr 57 min
Spy Kids 3-D: Game Over,2003,https://www.boxofficemojo.com/release/rl1936950785/,1 hr 24 min
Freaky Friday,2003,https://www.boxofficemojo.com/release/rl4048717313/,1 hr 37 min
Shrek 2,2004,https://www.boxofficemojo.com/release/rl24217089/,1 hr 33 min
Spider-Man 2,2004,https://www.boxofficemojo.com/release/rl896763393/,2 hr 7 min
The Passion of the Christ,2004,https://www.boxofficemojo.com/release/rl3781789185/,2 hr 7 min
Harry Potter and the Prisoner of Azkaban,2004,https://www.boxofficemojo.com/release/rl1449887233/,2 hr 22 min
The Incredibles,2004,https://www.boxofficemojo.com/release/rl2807793153/,1 hr 55 min
The Day After Tomorrow,2004,https://www.boxofficemojo.com/release/rl1716291073/,2 hr 4 min
The Bourne Supremacy,2004,https://www.boxofficemojo.com/release/rl2487649793/,1 hr 48 min
Shark Tale,2004,https://www.boxofficemojo.com/release/rl3933111809/,1 hr 30 min
The Polar Express,2004,https://www.boxofficemojo.com/release/rl292259329/,1 hr 40 min
National Treasure,2004,https://www.boxofficemojo.com/release/rl2321843713/,2 hr 11 min
"I, Robot",2004,https://www.boxofficemojo.com/release/rl1616545281/,1 hr 55 min
Troy,2004,https://www.boxofficemojo.com/release/rl3698820609/,2 hr 43 min
Meet the Fockers,2004,https://www.boxofficemojo.com/release/rl862094849/,1 hr 55 min
The Lord of the Rings: The Return of the King,2004,https://www.boxofficemojo.com/release/rl4251026945/,3 hr 21 min
50 First Dates,2004,https://www.boxofficemojo.com/release/rl3963717121/,1 hr 39 min
Van Helsing,2004,https://www.boxofficemojo.com/release/rl175736321/,2 hr 11 min
Fahrenheit 9/11,2004,https://www.boxofficemojo.com/release/rl2672854529/,2 hr 2 min
Dodgeball,2004,https://www.boxofficemojo.com/release/rl3578758657/,1 hr 32 min
The Village,2004,https://www.boxofficemojo.com/release/rl1132037633/,1 hr 48 min
The Grudge,2004,https://www.boxofficemojo.com/release/rl2639758849/,1 hr 31 min
Star Wars: Episode III - Revenge of the Sith,2005,https://www.boxofficemojo.com/release/rl2943583745/,2 hr 20 min
Harry Potter and the Goblet of Fire,2005,https://www.boxofficemojo.com/release/rl1466664449/,2 hr 37 min
War of the Worlds,2005,https://www.boxofficemojo.com/release/rl544769537/,1 hr 56 min
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,https://www.boxofficemojo.com/release/rl2623833601/,2 hr 23 min
Wedding Crashers,2005,https://www.boxofficemojo.com/release/rl1282967041/,1 hr 59 min
Charlie and the Chocolate Factory,2005,https://www.boxofficemojo.com/release/rl659260929/,1 hr 55 min
Batman Begins,2005,https://www.boxofficemojo.com/release/rl3510994433/,2 hr 20 min
Madagascar,2005,https://www.boxofficemojo.com/release/rl1398834689/,1 hr 26 min
Mr. & Mrs. Smith,2005,https://www.boxofficemojo.com/release/rl2238023169/,2 hr
Hitch,2005,https://www.boxofficemojo.com/release/rl2606335489/,1 hr 58 min
King Kong,2005,https://www.boxofficemojo.com/release/rl1331463681/,3 hr 7 min
The Longest Yard,2005,https://www.boxofficemojo.com/release/rl1298236929/,1 hr 53 min
Fantastic Four,2005,https://www.boxofficemojo.com/release/rl3662710273/,1 hr 46 min
Meet the Fockers,2005,https://www.boxofficemojo.com/release/rl862094849/,1 hr 55 min
Chicken Little,2005,https://www.boxofficemojo.com/release/rl1615562241/,1 hr 21 min
Robots,2005,https://www.boxofficemojo.com/release/rl1231848961/,1 hr 31 min
The Pacifier,2005,https://www.boxofficemojo.com/release/rl1416201729/,1 hr 35 min
The 40-Year-Old Virgin,2005,https://www.boxofficemojo.com/release/rl4165043713/,1 hr 56 min
Million Dollar Baby,2005,https://www.boxofficemojo.com/release/rl2288158209/,2 hr 12 min
Walk the Line,2005,https://www.boxofficemojo.com/release/rl3665397249/,2 hr 16 min
Pirates of the Caribbean: Dead Man's Chest,2006,https://www.boxofficemojo.com/release/rl4083713537/,2 hr 31 min
Cars,2006,https://www.boxofficemojo.com/release/rl1195935233/,1 hr 57 min
X-Men: The Last Stand,2006,https://www.boxofficemojo.com/release/rl1484424705/,1 hr 44 min
The Da Vinci Code,2006,https://www.boxofficemojo.com/release/rl1632404993/,2 hr 29 min
Superman Returns,2006,https://www.boxofficemojo.com/release/rl4067591681/,2 hr 34 min
Ice Age: The Meltdown,2006,https://www.boxofficemojo.com/release/rl3294135809/,1 hr 31 min
Happy Feet,2006,https://www.boxofficemojo.com/release/rl2069267969/,1 hr 48 min
Over the Hedge,2006,https://www.boxofficemojo.com/release/rl1785300481/,1 hr 23 min
Casino Royale,2006,https://www.boxofficemojo.com/release/rl3428484609/,2 hr 24 min
Talladega Nights: The Ballad of Ricky Bobby,2006,https://www.boxofficemojo.com/release/rl2422507009/,1 hr 48 min
Click,2006,https://www.boxofficemojo.com/release/rl541754881/,1 hr 47 min
Mission: Impossible III,2006,https://www.boxofficemojo.com/release/rl1348634113/,2 hr 6 min
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://www.boxofficemojo.com/release/rl2990966273/,1 hr 24 min
The Devil Wears Prada,2006,https://www.boxofficemojo.com/release/rl1481606657/,1 hr 49 min
The Departed,2006,https://www.boxofficemojo.com/release/rl508528129/,2 hr 31 min
The Break-Up,2006,https://www.boxofficemojo.com/release/rl894010881/,1 hr 46 min
Night at the Museum,2006,https://www.boxofficemojo.com/release/rl2103936513/,1 hr 48 min
The Pursuit of Happyness,2006,https://www.boxofficemojo.com/release/rl1349158401/,1 hr 57 min
Scary Movie 4,2006,https://www.boxofficemojo.com/release/rl4084172289/,1 hr 23 min
Failure to Launch,2006,https://www.boxofficemojo.com/release/rl2421196289/,1 hr 37 min
Spider-Man 3,2007,https://www.boxofficemojo.com/release/rl913540609/,2 hr 19 min
Shrek the Third,2007,https://www.boxofficemojo.com/release/rl40994305/,1 hr 33 min
Transformers,2007,https://www.boxofficemojo.com/release/rl3010954753/,2 hr 24 min
Pirates of the Caribbean: At World's End,2007,https://www.boxofficemojo.com/release/rl4100490753/,2 hr 49 min
Harry Potter and the Order of the Phoenix,2007,https://www.boxofficemojo.com/release/rl1215006209/,2 hr 18 min
The Bourne Ultimatum,2007,https://www.boxofficemojo.com/release/rl2504427009/,1 hr 55 min
300,2007,https://www.boxofficemojo.com/release/rl3191965185/,1 hr 57 min
Ratatouille,2007,https://www.boxofficemojo.com/release/rl846038529/,1 hr 51 min
I Am Legend,2007,https://www.boxofficemojo.com/release/rl3394799105/,1 hr 41 min
The Simpsons Movie,2007,https://www.boxofficemojo.com/release/rl3195110913/,1 hr 27 min
Wild Hogs,2007,https://www.boxofficemojo.com/release/rl1098614273/,1 hr 40 min
Knocked Up,2007,https://www.boxofficemojo.com/release/rl4183590401/,2 hr 9 min
Alvin and the Chipmunks,2007,https://www.boxofficemojo.com/release/rl1799587329/,1 hr 32 min
Rush Hour 3,2007,https://www.boxofficemojo.com/release/rl560956929/,1 hr 31 min
Night at the Museum,2007,https://www.boxofficemojo.com/release/rl2103936513/,1 hr 48 min
Live Free or Die Hard,2007,https://www.boxofficemojo.com/release/rl3025110529/,2 hr 8 min
National Treasure: Book of Secrets,2007,https://www.boxofficemojo.com/release/rl2338620929/,2 hr 4 min
Fantastic 4: Rise of the Silver Surfer,2007,https://www.boxofficemojo.com/release/rl3679487489/,1 hr 32 min
American Gangster,2007,https://www.boxofficemojo.com/release/rl1195607553/,2 hr 37 min
Bee Movie,2007,https://www.boxofficemojo.com/release/rl1984202241/,1 hr 31 min
The Dark Knight,2008,https://www.boxofficemojo.com/release/rl3729098241/,2 hr 32 min
Iron Man,2008,https://www.boxofficemojo.com/release/rl1482327553/,2 hr 6 min
Indiana Jones and the Kingdom of the Crystal Skull,2008,https://www.boxofficemojo.com/release/rl2321253889/,2 hr 2 min
Hancock,2008,https://www.boxofficemojo.com/release/rl746030593/,1 hr 32 min
WALL·E,2008,https://www.boxofficemojo.com/release/rl3615065601/,1 hr 38 min
Kung Fu Panda,2008,https://www.boxofficemojo.com/release/rl3562833409/,1 hr 32 min
Madagascar: Escape 2 Africa,2008,https://www.boxofficemojo.com/release/rl1382057473/,1 hr 29 min
Twilight,2008,https://www.boxofficemojo.com/release/rl58099201/,2 hr 2 min
Quantum of Solace,2008,https://www.boxofficemojo.com/release/rl3445261825/,1 hr 46 min
Horton Hears a Who!,2008,https://www.boxofficemojo.com/release/rl509117953/,1 hr 26 min
Sex and the City,2008,https://www.boxofficemojo.com/release/rl3211691521/,2 hr 25 min
Mamma Mia!,2008,https://www.boxofficemojo.com/release/rl3697313281/,1 hr 48 min
The Chronicles of Narnia: Prince Caspian,2008,https://www.boxofficemojo.com/release/rl2640610817/,2 hr 30 min
The Incredible Hulk,2008,https://www.boxofficemojo.com/release/rl2791015937/,1 hr 52 min
Wanted,2008,https://www.boxofficemojo.com/release/rl3329852929/,1 hr 50 min
Get Smart,2008,https://www.boxofficemojo.com/release/rl3914696193/,1 hr 50 min
Juno,2008,https://www.boxofficemojo.com/release/rl2539488769/,1 hr 36 min
Four Christmases,2008,https://www.boxofficemojo.com/release/rl2689762817/,1 hr 28 min
Tropic Thunder,2008,https://www.boxofficemojo.com/release/rl3782706689/,1 hr 47 min
Bolt,2008,https://www.boxofficemojo.com/release/rl1531348481/,1 hr 36 min
Transformers: Revenge of the Fallen,2009,https://www.boxofficemojo.com/release/rl3027731969/,2 hr 29 min
Harry Potter and the Half-Blood Prince,2009,https://www.boxofficemojo.com/release/rl1231783425/,2 hr 33 min
Up,2009,https://www.boxofficemojo.com/release/rl3245770241/,1 hr 36 min
The Twilight Saga: New Moon,2009,https://www.boxofficemojo.com/release/rl3479471617/,2 hr 10 min
Avatar,2009,https://www.boxofficemojo.com/release/rl876971521/,2 hr 42 min
The Hangover,2009,https://www.boxofficemojo.com/release/rl643204609/,1 hr 40 min
Star Trek,2009,https://www.boxofficemojo.com/release/rl2876474881/,2 hr 7 min
Monsters vs. Aliens,2009,https://www.boxofficemojo.com/release/rl224757249/,1 hr 34 min
Ice Age: Dawn of the Dinosaurs,2009,https://www.boxofficemojo.com/release/rl3310913025/,1 hr 34 min
The Blind Side,2009,https://www.boxofficemojo.com/release/rl3796338177/,2 hr 9 min
X-Men Origins: Wolverine,2009,https://www.boxofficemojo.com/release/rl3262875137/,1 hr 47 min
Night at the Museum: Battle of the Smithsonian,2009,https://www.boxofficemojo.com/release/rl2070382081/,1 hr 45 min
The Proposal,2009,https://www.boxofficemojo.com/release/rl577406465/,1 hr 48 min
2012,2009,https://www.boxofficemojo.com/release/rl1833010689/,2 hr 38 min
Fast & Furious,2009,https://www.boxofficemojo.com/release/rl693339649/,1 hr 47 min
G.I. Joe: The Rise of Cobra,2009,https://www.boxofficemojo.com/release/rl1062503937/,1 hr 58 min
Paul Blart: Mall Cop,2009,https://www.boxofficemojo.com/release/rl4016080385/,1 hr 31 min
Taken,2009,https://www.boxofficemojo.com/release/rl1635091969/,1 hr 30 min
Gran Torino,2009,https://www.boxofficemojo.com/release/rl240616961/,1 hr 56 min
A Christmas Carol,2009,https://www.boxofficemojo.com/release/rl2605417985/,1 hr 36 min
